ts,round,terror_ids,map_id
260518055020,Classic,109,25
260518055030,Unbound,216,28
260518055033,Classic,76,48
260518055040,Classic,90,27
260518055101,Classic,78,8
260518055111,Classic,0,58
260518055114,Classic,34,18
260518055121,Twilight,0,67
260518055142,Randomizer,74,1
260518055152,Randomizer,60,61
260518055156,Classic,20,1
260518055202,Classic,104,39
260518055223,Classic,124,67
260518055232,Classic,25,38
260518055236,Classic,114,71
260518055243,fog,,63
260518055305,Randomizer,42,6
260518055314,Randomizer,58,29
260518055317,Classic,99,48
260518055323,Classic,5,26
260518055346,Classic,111,3
260518055354,Classic,22,9
260518055358,Classic,19,67
260518055404,Classic,29,64
260518055426,Classic,15,36
260518055435,Classic,52,33
260518055439,Classic,131,69
260518055445,Randomizer,40,46
260518055507,Bloodbath,81;93;109,26
260518055516,fog,,8
260518055520,Classic,89,0
260518055526,Ghost,105,8
260518055548,Classic,91,46
260518055557,Classic,45,64
260518055601,Classic,12,4
260518055608,Classic,29,47
260518055629,Bloodbath,4;61;74,15
260518055638,Classic,61,21
260518055642,Classic,25,11
260518055649,Randomizer,6,50
260518055710,Classic,19,2
260518055719,Randomizer,79,10
260518055723,Classic,114,55
260518055729,Classic,29,57
260518055751,Classic,70,69
260518055804,Classic,64,53
260518055810,Classic,16,0
260518055831,Bloodbath,4;52;55,25
260518055845,Classic,127,23
260518055851,Bloodbath,34;111;130,7
260518055913,Classic,93,51
260518055917,Run,,1
260518055925,Classic,44,4
260518055932,Classic,84,21
260518055953,fog,,23
260518060000,Classic,97,37
260518060006,Classic,72,22
260518060013,Ghost,105,35
260518060034,Classic,52,20
260518060041,fog,,13
260518060047,Classic,67,62
260518060054,Classic,117,10
260518060115,Classic.exe,59,45
260518060122,Classic,124,14
260518060128,Classic,110,6
260518060135,Alternate,150,13
260518060157,Classic,132,39
260518060202,Bloodbath,26;37;48,28
260518060209,Classic,89,60
260518060216,Classic,91,17
260518060238,Bloodbath,45;75;79,53
260518060244,Classic,44,11
260518060250,Classic,48,25
260518060256,Randomizer,128,71
260518060318,Classic,79,20
260518060325,Classic,38,44
260518060331,Classic,71,26
260518060337,Classic,39,46
260518060359,Classic,113,20
260518060406,Bloodbath,24;26;54,59
260518060412,Classic,115,29
260518060418,Cracked,42,37
260518060440,Randomizer,45,36
260518060446,Classic,11,20
260518060453,Classic,90,56
260518060459,Classic,99,15
260518060521,Classic,65,8
260518060527,Classic,77,47
260518060533,Classic,35,69
260518060540,Classic,124,47
260518060608,fog,,25
260518060614,Classic,61,21
260518060621,fog,,15
260518060633,8 Pages,0;52,25
260518060652,Classic,48,56
260518060655,Classic,105,25
260518060702,Classic,106,71
260518060714,Alternate,157,11
260518060733,Alternate,143,54
260518060736,Classic,71,69
260518060742,Bloodbath,27;37;93,44
260518060755,Classic,78,11
260518060814,Unbound,274,3
260518060817,Classic,108,8
260518060823,Classic,9,70
260518060836,Cracked,19,62
260518060855,Bloodbath,78;104;133,39
260518060858,Classic,24,61
260518060904,Alternate,138,50
260518060918,Classic,45,41
260518060936,Classic,55,63
260518060940,Classic,66,61
260518060946,Classic,8,51
260518060958,Classic,99,17
260518061017,Classic,57,41
260518061020,Classic,100,41
260518061027,Classic,36,6
260518061039,fog,,12
260518061058,Alternate,166,51
260518061101,Classic,86,3
260518061107,Alternate,139,28
260518061120,Classic,123,47
260518061139,Classic,41,13
260518061142,Classic,29,34
260518061148,Classic,97,22
260518061201,Classic,23,42
260518061220,Classic,47,39
260518061223,Classic,31,34
260518061229,Cracked,11,25
260518061242,Bloodbath,8;52;115,23
260518061301,Bloodbath,38;48;99,41
260518061304,Classic,93,15
260518061310,Unbound,213,20
260518061322,Classic,118,9
260518061342,Classic,25,40
260518061345,Classic,82,3
260518061351,Classic,74,32
260518061403,Randomizer,125,70
260518061423,Unbound,256,42
260518061426,Classic,101,15
260518061432,Bloodbath,40;94;127,34
260518061444,Classic,23,71
260518061504,Classic,18,10
260518061506,Classic,103,59
260518061513,Classic,41,46
260518061526,Unbound,201,2
260518061544,fog,,38
260518061548,Classic,96,50
260518061554,Classic,124,10
260518061607,Bloodbath,4;75;113,4
260518061625,Classic,22,21
260518061635,Randomizer,84,43
260518061647,Classic,112,64
260518061706,Bloodbath,2;80;124,59
260518061716,Classic,87,59
260518061728,Classic.exe,9,40
260518061747,Run,,1
260518061747,Classic,108,48
260518061757,Classic,99,36
260518061809,Classic,56,49
260518061828,Classic,76,39
260518061832,Classic,48,3
260518061838,Classic.exe,75,36
260518061850,Classic,52,4
260518061909,Classic,25,49
260518061913,Randomizer,106,8
260518061919,Classic,58,69
260518061931,Bloodbath,7;17;66,56
260518061949,Classic,108,19
260518061953,Classic,112,16
260518061959,Classic,30,1
260518062012,Classic,58,13
260518062030,Classic,58,62
260518062034,Randomizer,88,16
260518062040,Cracked,119,38
260518062053,Alternate,164,42
260518062112,Classic,81,62
260518062115,Classic,95,25
260518062121,Classic,39,43
260518062134,Classic,89,31
260518062153,Classic,62,70
260518062156,fog,,11
260518062202,Midnight,6;38;157,60
260518062215,Bloodbath,25;90;133,66
260518062234,Classic,15,31
260518062243,Classic,42,67
260518062255,Classic,80,54
260518062309,8 Pages,12;60,28
260518062315,Classic,78,70
260518062324,Classic,37,14
260518062336,fog,,64
260518062352,Classic,101,32
260518062358,Classic,80,21
260518062405,Cracked,54,23
260518062423,Classic,128,63
260518062433,fog,,45
260518062442,Classic,60,58
260518062446,Classic,91,26
260518062505,Classic,129,53
260518062514,Classic,27,65
260518062524,Classic,73,5
260518062527,fog,,11
260518062546,Randomizer,100,32
260518062555,Cracked,24,15
260518062605,Classic,119,5
260518062609,Classic,33,52
260518062627,Classic,92,5
260518062637,Classic,64,37
260518062646,Classic,27,40
260518062650,Ghost,123,0
260518062708,Classic,99,50
260518062718,Cracked,133,40
260518062727,Classic,9,44
260518062730,Classic,113,25
260518062749,Alternate,161,39
260518062759,Ghost,86,49
260518062807,Classic,34,56
260518062811,Classic,35,44
260518062830,Classic,0,13
260518062840,Classic,96,33
260518062848,Classic,79,21
260518062852,fog,,46
260518062911,Classic,4,35
260518062921,Classic.exe,89,56
260518062929,Classic,112,54
260518062933,Classic,112,52
